"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1065190678819426304","x1405214055690817536",2021-06-16 17:21:53,"Bioinfo4women","Catherine d'Ignazio @kanarinka ass. prof. of @MITdusp, Data + Feminism Lab director @MIT. 

<U+0001F516> ""Data Feminism"" book about #datascience #dataethics <U+27A1><U+FE0F>https://t.co/z0Ws51WJYq

#AIGenderBias
Streaming in English: https://t.co/cw74rSjtZ2
Streaming in Spanish: https://t.co/GbONQH7gAZ https://t.co/Mm84p1nzEM","Twitter Web App",278,"x1405211725343899649","x1065190678819426304","Bioinfo4women",FALSE,FALSE,0,0,,,"datascience dataethics AIGenderBias",,"datafeminism.io bit.ly/3x9SJli bit.ly/3545cuS","https://t.co/z0Ws51WJYq https://t.co/cw74rSjtZ2 https://t.co/GbONQH7gAZ","https://datafeminism.io https://bit.ly/3x9SJli https://bit.ly/3545cuS","http://pbs.twimg.com/media/E4BQuWbVcAQkEex.jpg","https://t.co/Mm84p1nzEM","https://twitter.com/Bioinfo4women/status/1405214055690817536/photo/1","photo","http://pbs.twimg.com/media/E4BQuWbVcAQkEex.jpg","https://t.co/Mm84p1nzEM","https://twitter.com/Bioinfo4women/status/1405214055690817536/photo/1",,"x15378754 x200293513 x15460048","kanarinka MITdusp MIT","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Bioinfo4women/status/1405214055690817536","Bioinfo4Women","","<U+0001F469><U+200D><U+0001F4BB> Women in Bioinformatics Programme by the Life Sciences Dept @BSC_CNS
#Bioinformatics #HPC #PerMed
#WomenInSTEM #WomenInScience
#AIGenderBias #AdvCompBio","https://t.co/bPKhKjysVJ",FALSE,2272,1203,18,1698,2306,2018-11-21 10:30:22,FALSE,"https://t.co/bPKhKjysVJ","http://bioinfo4women.bsc.es",,"https://pbs.twimg.com/profile_banners/1065190678819426304/1617869249","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1065191023729623040/ulsYUu7t_normal.jpg"
"x20247396","x1405213743189938178",2021-06-16 17:20:38,"randomvichar","First that Timnit gebru and now this @ruchowdh, any idea why are wokes much more in this data scientist\ai ethics roles then any other engg. dept? (maybe sampling bias but it appears that wokes have successfully appointed themselves as the gatekeepers for AI)","Twitter Web App",259,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x705850200473010178","ruchowdh","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/randomvichar/status/1405213743189938178","Randomvichar","Bharatvarsh","Preferred Pronoun: His Majesty",,FALSE,348,153,10,14659,11791,2009-02-06 16:07:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/20247396/1596648487","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1298349313324544000/TPZ6em-s_normal.jpg"
"x829405647124852736","x1405212949535285255",2021-06-16 17:17:29,"EnricoManlapig","Attending a panel on human contexts and ethics at the National Workshop on Data Science Education 
@BerkeleyDataSci. Does anyone know of a text that unpacks data and justice??","Twitter Web App",175,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x780475893114298368","BerkeleyDataSci","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EnricoManlapig/status/1405212949535285255","Enrico Manlapig","Santa Barbara, CA","Economics & Business professor at Westmont College | Dad | Husband | <U+0001F1F5><U+0001F1ED><U+0001F1E6><U+0001F1FA><U+0001F1FA><U+0001F1F2>","https://t.co/cEaS0tEci4",FALSE,15,105,0,135,207,2017-02-08 19:04:50,FALSE,"https://t.co/cEaS0tEci4","http://emanlapig.net",,"https://pbs.twimg.com/profile_banners/829405647124852736/1621573197",,"http://pbs.twimg.com/profile_images/1395601651772190723/xSN5jyMp_normal.jpg"
"x42950393","x1405198601224077314",2021-06-16 16:20:28,"Matrix_MSU","""Framing the ethics of our project around inclusive and reparative scholarship about historical slavery and responsible stewardship of historical data about enslaved people in digital spaces."" 

See our #EnslavedOrg Statement of Ethics here: https://t.co/QK9BTo1Qey","Twitter Web App",265,,,,FALSE,FALSE,4,0,,,"EnslavedOrg",,"enslaved.org/statementofEth…","https://t.co/QK9BTo1Qey","https://enslaved.org/statementofEthics",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Matrix_MSU/status/1405198601224077314","Matrix: Digital Humanities & Social Sciences","Michigan State University","Matrix: Center for Digital Humanities & Social Sciences
Michigan State University
#EnslavedOrg","http://t.co/6I5L5wDBSQ",FALSE,2052,1602,113,1857,1047,2009-05-27 19:16:36,FALSE,"http://t.co/6I5L5wDBSQ","http://matrix.msu.edu",,"https://pbs.twimg.com/profile_banners/42950393/1619787916","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1124338969355927558/IUlTAGSW_normal.png"
"x866729142","x1405197501750206464",2021-06-16 16:16:06,"JenniferCregar","Learn how to get unbiased, ethical insights from your #AI. Wadiya (Diya) Wynn and Jack Berkowitz show how Amazon Web Services (AWS) and ADP help companies get it right. Register for the free webinar on-demand. #Data #BigData https://t.co/O4pH6DGAkW https://t.co/AxUtfJf4LL","EveryoneSocial",248,,,,FALSE,FALSE,0,1,,,"AI Data BigData",,"bit.ly/3gGahyz","https://t.co/O4pH6DGAkW","https://bit.ly/3gGahyz","http://pbs.twimg.com/media/E4BDrmzVoAEx8I-.jpg","https://t.co/AxUtfJf4LL","https://twitter.com/JenniferCregar/status/1405197501750206464/photo/1","photo","http://pbs.twimg.com/media/E4BDrmzVoAEx8I-.jpg","https://t.co/AxUtfJf4LL","https://twitter.com/JenniferCregar/status/1405197501750206464/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JenniferCregar/status/1405197501750206464","Jennifer Cregar","Sarasota, FL","District Sales Manager @ADP Expertise in #HCM, #talentmanagement, When not working, found in and on the water. Part mermaid. <U+0001F9DC><U+200D><U+2640><U+FE0F> Tweets are my own.","https://t.co/95v7g3MojM",FALSE,137,228,59,3662,2213,2012-10-07 18:20:01,FALSE,"https://t.co/95v7g3MojM","http://www.adp.com/solutions/midsized-business.aspx",,"https://pbs.twimg.com/profile_banners/866729142/1541130356","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1058204540896505856/L1fRPe7s_normal.jpg"
"x2176513952","x1405196313348775938",2021-06-16 16:11:23,"thecriticaldom","For #PicardDay know this:

TNG had a whole episode on the ethics of denying Data the right to self-determination, deciding that if it were denied Starfleet would condone slavery.

The Picard show's first episode has android slaves.","Twitter for Android",231,,,,FALSE,FALSE,1,0,,,"PicardDay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/thecriticaldom/status/1405196313348775938","Dominic Martyne","","Cancer survivor, DeMolay, Freemason, American Historian, Classicist, contributor to @ArcDigi, and Dungeon Master. Possible cousin to Gimli. I also paint models.","https://t.co/je6f1XMMTl",FALSE,211,537,14,13686,11832,2013-11-05 17:43:29,FALSE,"https://t.co/je6f1XMMTl","http://www.twitch.tv/criticaldom",,"https://pbs.twimg.com/profile_banners/2176513952/1472961138","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1248072291776376832/v2x7Qcqu_normal.jpg"
"x110465562","x1405189844993720324",2021-06-16 15:45:40,"j_w_baker","Thoroughly enjoyed @Abebab's ""Algorithmic injustice: a relational ethics approach"" for MANY reasons, including deft phrasing ('Data science and data practices reincarnate rationalism'), a slight call to arms for historians, reminding me of what I do wrong https://t.co/0ZtNyEpGcW https://t.co/ceHy7Hbyu1","Twitter Web App",279,,,,FALSE,FALSE,6,2,,,,,"doi.org/10.1016/j.patt…","https://t.co/0ZtNyEpGcW","http://doi.org/10.1016/j.patter.2021.100205","http://pbs.twimg.com/media/E4A7knzVUAAnNqR.png","https://t.co/ceHy7Hbyu1","https://twitter.com/j_w_baker/status/1405189844993720324/photo/1","photo","http://pbs.twimg.com/media/E4A7knzVUAAnNqR.png","https://t.co/ceHy7Hbyu1","https://twitter.com/j_w_baker/status/1405189844993720324/photo/1",,"x229005889","Abebab","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/j_w_baker/status/1405189844993720324","James Baker","Faversham<U+21C6>Falmer<U+21C6>London<U+21C6>EU","Now: Director @SussexHumsLab · Soon: Director of Digital Humanities @HumanitiesUoS · Historian · Power+People+Tech · @ProgHist · @SoftwareSaved · He/Him","https://t.co/2MgCgC3t85",FALSE,5599,3125,225,47313,6711,2010-02-01 17:00:59,FALSE,"https://t.co/2MgCgC3t85","http://cradledincaricature.com/",,"https://pbs.twimg.com/profile_banners/110465562/1464596371","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1358100938284818433/lxVZ_J5a_normal.jpg"
"x1656941546","x1405188177602572288",2021-06-16 15:39:03,"osmfarm","@candymh46 @RDavisJ1 Great, it seems like we agree that politics is a really important data point about a person’s ethics, because obviously your friends who have voted for Republicans are realizing the immense harm they’ve done and trying to make up for it by changing their politics.","Twitter for iPhone",264,"x1405187272320770055","x893326039891402752","candymh46",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x893326039891402752 x1114541376371167233","candymh46 RDavisJ1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/osmfarm/status/1405188177602572288","Leah Claire","Point Elliot Treaty","Growing food & soil on a 1/4 acre. She/her. Cis/Het/Settler. Subvert the dominant paradigm. Expand the demos. Land & Resources Back + Reparations. Decolonize.",,FALSE,466,3353,3,17636,45557,2013-08-09 05:03:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1656941546/1560147106","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1162780198703521793/43UzAVWb_normal.jpg"
"x125351426","x1405186018106609672",2021-06-16 15:30:28,"HEGoingGlobal","Ethics of data science: AI raises the issue of bias. Book called invisible women which talks about things like drugs trials excluding women, Prof Ridgway @durham_uni #GoingGlobal2021","Twitter Web App",182,"x1405184212727119873","x125351426","HEGoingGlobal",FALSE,FALSE,0,0,,,"GoingGlobal2021",,,,,,,,,,,,,"x277391629","durham_uni","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HEGoingGlobal/status/1405186018106609672","British Council Higher Education","","Extending, strengthening and deepening the international connections of the UK’s higher education sector","https://t.co/OKL4m7Y0Km",FALSE,16598,1910,346,12032,2918,2010-03-22 14:45:51,TRUE,"https://t.co/OKL4m7Y0Km","https://www.britishcouncil.org/education/he-science",,"https://pbs.twimg.com/profile_banners/125351426/1605693197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1259871868959559681/lGkr7y_j_normal.jpg"
"x1039560985705701381","x1405185336066588678",2021-06-16 15:27:45,"StatalieT","@disco_huw @ninadicara Thanks for coming Huw, it's always great to see you there!

I'll be in touch about the next set of Data Ethics Club, once I've recovered from Data Week <U+0001F605>. We were just saying that we're really excited to have you involved<U+2728>!","Twitter Web App",223,"x1405183210569490434","x1389125829989441537","disco_huw",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1389125829989441537 x226698188","disco_huw ninadicara","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StatalieT/status/1405185336066588678","Natalie Thurlby","Bristol, England","Data Scientist @JGIBristol.    
Comp-bio<U+0001F469><U+200D><U+0001F4BB><U+0001F9EC>.   
Reproducibility<U+2728>.     
#DataEthicsClub
Python<U+0001F40D>.  
Sea shanty band <U+2693><U+FE0F><U+0001F9DC><U+200D><U+2640><U+FE0F><U+0001F37B>. 
Friend to <U+0001F422>.","https://t.co/ZgMARGWmrC",FALSE,382,431,7,877,1335,2018-09-11 17:07:07,FALSE,"https://t.co/ZgMARGWmrC","https://very-good-science.github.io/data-hazards/",,"https://pbs.twimg.com/profile_banners/1039560985705701381/1610030996","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1390631181931188225/M-nbFie8_normal.jpg"
"x226698188","x1405184575169572866",2021-06-16 15:24:44,"ninadicara","I had been saving watching @CodedBias for this event! It was fantastic, as was the enthusiastic discussion afterwards! 
I'll say it again - discussion spaces about ethics and accountability add so much to the quality of my data science work <U+0001F495> #BristolDataWeek https://t.co/TDszcE9nd8","Twitter Web App",259,,,,TRUE,FALSE,6,3,,,"BristolDataWeek",,"twitter.com/JGIBristol/sta…","https://t.co/TDszcE9nd8","https://twitter.com/JGIBristol/status/1405182198777630726",,,,,,,,,"x1220735833503715329","CodedBias","en","x1405182198777630726","What a great event! Thank you to Nat and Nina. 

If you want to find out more about the regular Data Ethics Clubs meetings, check out this link! https://t.co/UnkQeFHKuy",2021-06-16 15:15:17,"Hootsuite Inc.",8,4,"x789119554190540800","JGIBristol","JGI Bristol",1836,2285,4300,"Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ninadicara/status/1405184575169572866","Nina","Newport, Wales","(she/her) Tweeting about data science, mental health, social work, PhD life and the third sector <U+0001F450>  co-organiser of #DataEthicsClub","https://t.co/AvkWwmmXVu",FALSE,712,1679,17,6000,7762,2010-12-14 21:03:00,FALSE,"https://t.co/AvkWwmmXVu","http://ninadicara.co.uk",,"https://pbs.twimg.com/profile_banners/226698188/1573209420","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1399644705395294209/AtA6DDWA_normal.jpg"
"x11221722","x1405183246615330819",2021-06-16 15:19:27,"jhmorin","Quick takeaways from our @Trust_Innovat
 Data, Health &amp; Ethics panel with @marcelsalathe @Ballymag @johanrochel: Bridge political Skill Gap - Decentralized designs - #DigitalResponsibility is not limited to #DataProtection - Urgent need 4 public debate (&amp; the need 4 #DataDiets :)","Twitter Web App",288,,,,FALSE,FALSE,2,1,,,"DigitalResponsibility DataProtection DataDiets",,,,,,,,,,,,,"x1112684684700536832 x14177696 x90186360 x2714421534","Trust_Innovat marcelsalathe Ballymag johanrochel","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jhmorin/status/1405183246615330819","jhmorin","Geneva, Switzerland","Associate professor at University of Geneva. Information Security, Blockchain, DRM, Digital Rights and Policy Management, Design Thinking","https://t.co/rN2TAe1BV7",FALSE,1378,439,169,4179,1967,2007-12-16 13:49:37,FALSE,"https://t.co/rN2TAe1BV7","http://jean-henry.com/",,"https://pbs.twimg.com/profile_banners/11221722/1401799285","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/568687211/jhm_normal.jpg"
"x11221722","x1405178070064111618",2021-06-16 14:58:53,"jhmorin","Today, during our Geneva @Trust_Innovat panel on Data, Health &amp; Ethics with @marcelsalathe @Ballymag @johanrochel we were hoping @KremlinRussia_E &amp; @POTUS were also addressing some pressing challenges on #DataGovernance and #DigitalResponsibility (cc @ParmelinG)","Twitter Web App",270,,,,FALSE,FALSE,4,0,,,"DataGovernance DigitalResponsibility",,,,,,,,,,,,,"x1112684684700536832 x14177696 x90186360 x2714421534 x205622130 x1349149096909668363 x1072443638930726913","Trust_Innovat marcelsalathe Ballymag johanrochel KremlinRussia_E POTUS ParmelinG","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jhmorin/status/1405178070064111618","jhmorin","Geneva, Switzerland","Associate professor at University of Geneva. Information Security, Blockchain, DRM, Digital Rights and Policy Management, Design Thinking","https://t.co/rN2TAe1BV7",FALSE,1378,439,169,4179,1967,2007-12-16 13:49:37,FALSE,"https://t.co/rN2TAe1BV7","http://jean-henry.com/",,"https://pbs.twimg.com/profile_banners/11221722/1401799285","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/568687211/jhm_normal.jpg"
"x2594604654","x1405182909242175490",2021-06-16 15:18:07,"Raju1m","What a great event! Thank you to Nat and Nina. 

If you want to find out more about the regular Data Ethics Clubs meetings, check out this link!

https://t.co/WLROSj4FuC","Twitter Web App",169,,,,FALSE,FALSE,1,0,,,,,"github.com/very-good-scie…","https://t.co/WLROSj4FuC","https://github.com/very-good-science/data-ethics-club",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Raju1m/status/1405182909242175490","Raju kumar mishra","","#Kaggle Grandmaster A writer of  #PySparkRecipes a data scientist a programmer #Writer #BigData  #MachineLearning #Programmer #R #Python #Julia  #Scala #PySpark",,FALSE,1075,3567,8,1052,2670,2014-06-29 10:57:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/2594604654/1506846843","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067730068867305472/evQj1AMD_normal.jpg"
"x789119554190540800","x1405182198777630726",2021-06-16 15:15:17,"JGIBristol","What a great event! Thank you to Nat and Nina. 

If you want to find out more about the regular Data Ethics Clubs meetings, check out this link! https://t.co/UnkQeFHKuy","Hootsuite Inc.",168,,,,FALSE,FALSE,8,4,,,,,"github.com/very-good-scie…","https://t.co/UnkQeFHKuy","https://github.com/very-good-science/data-ethics-club",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JGIBristol/status/1405182198777630726","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x789119554190540800","x1402977659517386759",2021-06-10 13:15:14,"JGIBristol","ONE WEEK TO GO! 

Inclusive and Ethical Data Science hosted by the Inclusive Research Collective and the Data Ethics Club #BristolDataWeek

https://t.co/oQE9P91F9Y","Hootsuite Inc.",163,,,,FALSE,FALSE,5,3,,,"BristolDataWeek",,"eventbrite.co.uk/e/inclusive-an…","https://t.co/oQE9P91F9Y","https://www.eventbrite.co.uk/e/inclusive-and-ethical-data-science-tickets-154266849299",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JGIBristol/status/1402977659517386759","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x789119554190540800","x1402619182362017792",2021-06-09 13:30:47,"JGIBristol","ONE WEEK TO GO! 

Special Edition of Data Ethics Club: CODED BIAS Screening in #BristolDataWeek 

In this special edition of Data Ethics Club we will be showing a virtual screening of CODED BIAS followed by a panel Q&amp;A session after the film.

https://t.co/7w2XCpdf7Y https://t.co/0SnQyonf7B","Hootsuite Inc.",271,,,,FALSE,FALSE,7,3,,,"BristolDataWeek",,"eventbrite.co.uk/e/special-edit…","https://t.co/7w2XCpdf7Y","https://www.eventbrite.co.uk/e/special-edition-of-data-ethics-club-coded-bias-screening-tickets-155911949839","http://pbs.twimg.com/media/E3catsPWEAQ6Ex7.jpg","https://t.co/0SnQyonf7B","https://twitter.com/JGIBristol/status/1402619182362017792/photo/1","photo","http://pbs.twimg.com/media/E3catsPWEAQ6Ex7.jpg","https://t.co/0SnQyonf7B","https://twitter.com/JGIBristol/status/1402619182362017792/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JGIBristol/status/1402619182362017792","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x789119554190540800","x1405118265115000833",2021-06-16 11:01:14,"JGIBristol","Special Edition of Data Ethics Club: Coded Bias Screening #BristolDataWeek

Starting at 14:00pm - don't miss out! 

https://t.co/7w2XCpdf7Y https://t.co/hqyjOdX3Mz","Hootsuite Inc.",139,,,,FALSE,FALSE,2,1,,,"BristolDataWeek",,"eventbrite.co.uk/e/special-edit…","https://t.co/7w2XCpdf7Y","https://www.eventbrite.co.uk/e/special-edition-of-data-ethics-club-coded-bias-screening-tickets-155911949839","http://pbs.twimg.com/media/E3_7ncSUUAkYOIC.jpg","https://t.co/hqyjOdX3Mz","https://twitter.com/JGIBristol/status/1405118265115000833/photo/1","photo","http://pbs.twimg.com/media/E3_7ncSUUAkYOIC.jpg","https://t.co/hqyjOdX3Mz","https://twitter.com/JGIBristol/status/1405118265115000833/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JGIBristol/status/1405118265115000833","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x272658931","x1405178688124116996",2021-06-16 15:01:20,"DarinDavisADP","Learn how to get unbiased, ethical insights from your #AI. Wadiya (Diya) Wynn and Jack Berkowitz show how Amazon Web Services (AWS) and ADP help companies get it right. Register for the free webinar on-demand. #Data #BigData https://t.co/qTDc9iItbF https://t.co/nNMIHI5xyZ","EveryoneSocial",248,,,,FALSE,FALSE,0,1,,,"AI Data BigData",,"bit.ly/3wAcm63","https://t.co/qTDc9iItbF","https://bit.ly/3wAcm63","http://pbs.twimg.com/media/E4AykeMVUAEF16c.jpg","https://t.co/nNMIHI5xyZ","https://twitter.com/DarinDavisADP/status/1405178688124116996/photo/1","photo","http://pbs.twimg.com/media/E4AykeMVUAEF16c.jpg","https://t.co/nNMIHI5xyZ","https://twitter.com/DarinDavisADP/status/1405178688124116996/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DarinDavisADP/status/1405178688124116996","Darin Davis","Kansas City Area ","District Sales Manager for Global Enterprise Solutions @adp.com. HCM Evangalist. Driven Husband and Father of two. Avid Boater, Sooner and Royals Fan","http://t.co/8zvLdI5FTA",FALSE,121,295,0,928,87,2011-03-26 22:55:29,FALSE,"http://t.co/8zvLdI5FTA","http://www.adp.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/573570655842492418/_aQ3m4EQ_normal.jpeg"
"x4032166413","x1405177608178909197",2021-06-16 14:57:03,"MissIG_Geek","@VerintAccess @HelenRSalisbury @medConfidential You would be legally (and morally responsible) if you recklessly uploaded data to a system with inadequate protections for human rights and governance, which fails to meet basic requirements of law and medical ethics.","Twitter for iPhone",217,"x1404910627982880771","x875381085147983876","VerintAccess",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x875381085147983876 x2905276319 x1103435959","VerintAccess HelenRSalisbury medConfidential","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MissIG_Geek/status/1405177608178909197","Miss IG Geek (she/her) <U+0001F3F3><U+FE0F><U+200D><U+0001F308>","The edge of reality","Everything you think you know is actually way more complicated than you believe it to be","https://t.co/0Rg5H22oJT",FALSE,5393,261,176,39369,69181,2015-10-24 14:46:21,FALSE,"https://t.co/0Rg5H22oJT","http://missinfogeek.net",,"https://pbs.twimg.com/profile_banners/4032166413/1481393881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1404488652810563584/FVbBOJUK_normal.jpg"
